City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Filadelfia,US,39.9523,-75.1638,60.3,39,100,17.27,overcast clouds
168,San Patricio,US,28.017,-97.5169,91.49,47,5,20.02,clear sky
169,Mago,RU,53.2514,140.1822,30.94,89,100,4.54,overcast clouds
170,Buin,CL,-33.7333,-70.75,61.05,48,5,6.6,clear sky
171,Kodiak,US,57.79,-152.4072,47.71,40,0,19.57,clear sky
172,Khatanga,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
173,Mayo,US,38.8876,-76.5119,55.81,52,100,18.41,overcast clouds
174,Mae Ramat,TH,16.984,98.5166,76.03,94,100,0.63,light rain
175,San Quintin,MX,30.4833,-115.95,63.18,65,0,20.07,clear sky
176,Nizhneangarsk,RU,55.7833,109.55,28.6,77,84,8.59,broken clouds
177,Bengkulu,ID,-3.8004,102.2655,77.5,81,100,3.38,overcast clouds
178,Murray Bridge,AU,-35.1167,139.2667,52.12,73,92,3.74,overcast clouds
179,Qianan,CN,44.9932,124.0581,52.2,23,0,8.43,clear sky
180,Taltal,CL,-25.4,-70.4833,65.01,61,5,4.99,clear sky
181,Komsomolskiy,UZ,40.4272,71.7189,78.39,28,0,4.54,clear sky
182,Ewa Beach,US,21.3156,-158.0072,80.55,62,75,16.11,broken clouds
183,Mwene-Ditu,CD,-7.0,23.45,72.09,75,100,4.83,overcast clouds
184,Airai,TL,-8.9266,125.4092,58.53,92,49,4.05,scattered clouds
185,Bismil,TR,37.8486,40.6658,56.93,68,6,1.68,clear sky
186,East London,ZA,-33.0153,27.9116,63.14,76,94,14.81,overcast clouds
187,Cabo San Lucas,MX,22.8909,-109.9124,91.71,23,40,10.36,scattered clouds
188,Beringovskiy,RU,63.05,179.3167,31.44,80,68,9.86,broken clouds
189,Chuy,UY,-33.6971,-53.4616,68.04,57,7,6.8,clear sky
190,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,few clouds
191,Canutama,BR,-6.5339,-64.3831,86.49,69,32,2.01,scattered clouds
192,Izberbash,RU,42.5696,47.8645,55.45,84,100,14.07,overcast clouds
193,Baneh,IR,35.9975,45.8853,44.04,72,5,3.56,clear sky
194,Tezu,IN,27.9167,96.1667,72.86,75,2,4.92,clear sky
